,pct_veg,gridcell,pft,biome
15,15.181223617165768,21,c3_crop,2.0
16,4.973452042579947,21,c3_irrigated,2.0
0,78.50273329099477,22,not_vegetated,7.0
1,0.0,22,needleleaf_evergreen_temperate_tree,7.0
2,0.0,22,needleleaf_evergreen_boreal_tree,7.0
3,0.0,22,needleleaf_deciduous_boreal_tree,7.0
4,0.0,22,broadleaf_evergreen_tropical_tree,7.0
5,0.15156042242767231,22,broadleaf_evergreen_temperate_tree,7.0
6,0.0,22,broadleaf_deciduous_tropical_tree,7.0
7,0.08654740147505824,22,broadleaf_deciduous_temperate_tree,7.0
8,0.12884381323009125,22,broadleaf_deciduous_boreal_tree,7.0
9,0.0,22,broadleaf_evergreen_shrub,7.0
10,0.9962571074981312,22,broadleaf_deciduous_temperate_shrub,7.0
11,0.7655861909968595,22,broadleaf_deciduous_boreal_shrub,7.0
12,8.243768499667718,22,c3_arctic_grass,7.0
13,11.062050300212665,22,c3_non-arctic_grass,7.0
14,0.0,22,c4_grass,7.0
15,0.06265297349701535,22,c3_crop,7.0
16,0.0,22,c3_irrigated,7.0
0,29.49210950317059,23,not_vegetated,3.0
1,0.0,23,needleleaf_evergreen_temperate_tree,3.0
2,0.0,23,needleleaf_evergreen_boreal_tree,3.0
3,0.0,23,needleleaf_deciduous_boreal_tree,3.0
4,2.102076765689858e-08,23,broadleaf_evergreen_tropical_tree,3.0
5,0.044611634134430034,23,broadleaf_evergreen_temperate_tree,3.0
6,8.152449959096683e-09,23,broadleaf_deciduous_tropical_tree,3.0
7,0.0031013578826871056,23,broadleaf_deciduous_temperate_tree,3.0
8,0.0,23,broadleaf_deciduous_boreal_tree,3.0
9,0.0,23,broadleaf_evergreen_shrub,3.0
10,46.6802734888041,23,broadleaf_deciduous_temperate_shrub,3.0
11,0.0,23,broadleaf_deciduous_boreal_shrub,3.0
12,0.0,23,c3_arctic_grass,3.0
13,4.006828015425193,23,c3_non-arctic_grass,3.0
14,19.725332948388708,23,c4_grass,3.0
15,0.04774302302106797,23,c3_crop,3.0
16,0.0,23,c3_irrigated,3.0
0,-1.1102230246251565e-16,24,not_vegetated,2.0
1,0.0,24,needleleaf_evergreen_temperate_tree,2.0
2,0.0,24,needleleaf_evergreen_boreal_tree,2.0
3,0.0,24,needleleaf_deciduous_boreal_tree,2.0
4,1.9170102533503474e-07,24,broadleaf_evergreen_tropical_tree,2.0
5,4.022815113670307,24,broadleaf_evergreen_temperate_tree,2.0
6,1.3217387542143825e-07,24,broadleaf_deciduous_tropical_tree,2.0
7,3.011547558698302,24,broadleaf_deciduous_temperate_tree,2.0
8,0.0,24,broadleaf_deciduous_boreal_tree,2.0
9,0.0,24,broadleaf_evergreen_shrub,2.0
10,10.879795976572268,24,broadleaf_deciduous_temperate_shrub,2.0
11,0.0,24,broadleaf_deciduous_boreal_shrub,2.0
12,0.0,24,c3_arctic_grass,2.0
13,20.267324239351073,24,c3_non-arctic_grass,2.0
14,37.00778106996118,24,c4_grass,2.0
15,19.58427574517103,24,c3_crop,2.0
16,2.263998000345812,24,c3_irrigated,2.0
0,0.0,25,not_vegetated,6.0
1,0.0,25,needleleaf_evergreen_temperate_tree,6.0
2,0.0,25,needleleaf_evergreen_boreal_tree,6.0
3,0.0,25,needleleaf_deciduous_boreal_tree,6.0
4,0.24090285057266203,25,broadleaf_evergreen_tropical_tree,6.0
5,7.157896684598579,25,broadleaf_evergreen_temperate_tree,6.0
6,0.15821963361106775,25,broadleaf_deciduous_tropical_tree,6.0
7,2.611570779505768,25,broadleaf_deciduous_temperate_tree,6.0
8,0.0,25,broadleaf_deciduous_boreal_tree,6.0
9,0.0,25,broadleaf_evergreen_shrub,6.0
10,4.532260936948505,25,broadleaf_deciduous_temperate_shrub,6.0
11,0.0,25,broadleaf_deciduous_boreal_shrub,6.0
12,0.0,25,c3_arctic_grass,6.0
13,46.387052587603165,25,c3_non-arctic_grass,6.0
14,13.720945438719639,25,c4_grass,6.0
15,22.401081755758348,25,c3_crop,6.0
16,2.300821673330161,25,c3_irrigated,6.0
0,2.5342031170645263,26,not_vegetated,2.0
1,0.0,26,needleleaf_evergreen_temperate_tree,2.0
2,0.0,26,needleleaf_evergreen_boreal_tree,2.0
3,0.0,26,needleleaf_deciduous_boreal_tree,2.0
4,3.7931890653323017,26,broadleaf_evergreen_tropical_tree,2.0
5,0.0,26,broadleaf_evergreen_temperate_tree,2.0
6,3.6951331885601335,26,broadleaf_deciduous_tropical_tree,2.0
7,0.0,26,broadleaf_deciduous_temperate_tree,2.0
8,0.0,26,broadleaf_deciduous_boreal_tree,2.0
9,0.0,26,broadleaf_evergreen_shrub,2.0
10,1.8994134470857977,26,broadleaf_deciduous_temperate_shrub,2.0
11,0.0,26,broadleaf_deciduous_boreal_shrub,2.0
12,0.0,26,c3_arctic_grass,2.0
13,21.98203363398991,26,c3_non-arctic_grass,2.0
14,64.66927609622249,26,c4_grass,2.0
15,1.3800672302745416,26,c3_crop,2.0
16,0.04668422147030006,26,c3_irrigated,2.0
0,44.26312491800359,27,not_vegetated,3.0
1,0.0,27,needleleaf_evergreen_temperate_tree,3.0
2,0.0,27,needleleaf_evergreen_boreal_tree,3.0
3,0.0,27,needleleaf_deciduous_boreal_tree,3.0
4,0.0027744334396679893,27,broadleaf_evergreen_tropical_tree,3.0
5,0.14301371786083444,27,broadleaf_evergreen_temperate_tree,3.0
6,5.723815651049319e-10,27,broadleaf_deciduous_tropical_tree,3.0
7,0.000242239236686226,27,broadleaf_deciduous_temperate_tree,3.0
8,0.0,27,broadleaf_deciduous_boreal_tree,3.0
9,0.0,27,broadleaf_evergreen_shrub,3.0
10,34.494072544810365,27,broadleaf_deciduous_temperate_shrub,3.0
11,0.0,27,broadleaf_deciduous_boreal_shrub,3.0
12,0.0,27,c3_arctic_grass,3.0
13,0.048340659565301536,27,c3_non-arctic_grass,3.0
14,18.048431962726408,27,c4_grass,3.0
15,6.220583076421704e-10,27,c3_crop,3.0
